,genres,movie_name,movieId,year,Country
64,Sci-Fi,http://dbpedia.org/resource/Galaxy_Quest,3175,1999,United States of America
65,Comedy,http://dbpedia.org/resource/Harold_and_Maude,1235,1971,United States of America
66,Comedy,http://dbpedia.org/resource/Heathers,1285,1989,United States of America
67,Action,http://dbpedia.org/resource/King_Kong_(1933_film),2366,1933,United States of America
68,Adventure,http://dbpedia.org/resource/King_Kong_(1933_film),2366,1933,United States of America
69,Horror,http://dbpedia.org/resource/King_Kong_(1933_film),2366,1933,United States of America
70,Comedy,http://dbpedia.org/resource/Monty_Python's_Life_of_Brian,1080,1979,United Kingdom
71,Comedy,http://dbpedia.org/resource/Monty_Python_and_the_Holy_Grail,1136,1974,United Kingdom
72,Action,http://dbpedia.org/resource/Natural_Born_Killers,288,1994,United States of America
73,Thriller,http://dbpedia.org/resource/Natural_Born_Killers,288,1994,United States of America
74,Drama,http://dbpedia.org/resource/Paths_of_Glory,1178,1957,United States of America
75,War,http://dbpedia.org/resource/Paths_of_Glory,1178,1957,United States of America
76,Horror,http://dbpedia.org/resource/Psycho_(1960_film),1219,1960,United States of America
77,Thriller,http://dbpedia.org/resource/Psycho_(1960_film),1219,1960,United States of America
78,Drama,http://dbpedia.org/resource/Raging_Bull,1228,1980,United States of America
79,Comedy,http://dbpedia.org/resource/The_Rocky_Horror_Picture_Show,2657,1975,United States of America
80,Comedy,http://dbpedia.org/resource/The_Rocky_Horror_Picture_Show,2657,1975,United Kingdom
81,Horror,http://dbpedia.org/resource/The_Rocky_Horror_Picture_Show,2657,1975,United States of America
82,Horror,http://dbpedia.org/resource/The_Rocky_Horror_Picture_Show,2657,1975,United Kingdom
83,Musical,http://dbpedia.org/resource/The_Rocky_Horror_Picture_Show,2657,1975,United States of America
84,Musical,http://dbpedia.org/resource/The_Rocky_Horror_Picture_Show,2657,1975,United Kingdom
85,Sci-Fi,http://dbpedia.org/resource/The_Rocky_Horror_Picture_Show,2657,1975,United States of America
86,Sci-Fi,http://dbpedia.org/resource/The_Rocky_Horror_Picture_Show,2657,1975,United Kingdom
87,Comedy,http://dbpedia.org/resource/Repo_Man_(film),1965,1984,United States of America
88,Sci-Fi,http://dbpedia.org/resource/Repo_Man_(film),1965,1984,United States of America
89,Action,http://dbpedia.org/resource/Star_Trek_Generations,329,1994,United States of America
90,Adventure,http://dbpedia.org/resource/Star_Trek_Generations,329,1994,United States of America
91,Sci-Fi,http://dbpedia.org/resource/Star_Trek_Generations,329,1994,United States of America
92,Action,http://dbpedia.org/resource/Star_Trek_II:_The_Wrath_of_Khan,1374,1982,United States of America
93,Adventure,http://dbpedia.org/resource/Star_Trek_II:_The_Wrath_of_Khan,1374,1982,United States of America
94,Sci-Fi,http://dbpedia.org/resource/Star_Trek_II:_The_Wrath_of_Khan,1374,1982,United States of America
95,Action,http://dbpedia.org/resource/Star_Trek:_First_Contact,1356,1996,United States of America
96,Adventure,http://dbpedia.org/resource/Star_Trek:_First_Contact,1356,1996,United States of America
97,Sci-Fi,http://dbpedia.org/resource/Star_Trek:_First_Contact,1356,1996,United States of America
98,Action,http://dbpedia.org/resource/Saving_Private_Ryan,2028,1998,United States of America
99,Drama,http://dbpedia.org/resource/Saving_Private_Ryan,2028,1998,United States of America
100,War,http://dbpedia.org/resource/Saving_Private_Ryan,2028,1998,United States of America
101,Action,http://dbpedia.org/resource/Stargate_(film),316,1994,United States of America
102,Action,http://dbpedia.org/resource/Stargate_(film),316,1994,France
103,Adventure,http://dbpedia.org/resource/Stargate_(film),316,1994,United States of America
104,Adventure,http://dbpedia.org/resource/Stargate_(film),316,1994,France
105,Sci-Fi,http://dbpedia.org/resource/Stargate_(film),316,1994,United States of America
106,Sci-Fi,http://dbpedia.org/resource/Stargate_(film),316,1994,France
107,Action,http://dbpedia.org/resource/The_Rock_(film),733,1996,United States of America
108,Adventure,http://dbpedia.org/resource/The_Rock_(film),733,1996,United States of America
109,Thriller,http://dbpedia.org/resource/The_Rock_(film),733,1996,United States of America
110,Comedy,http://dbpedia.org/resource/The_Big_Lebowski,1732,1998,United States of America
111,Comedy,http://dbpedia.org/resource/The_Big_Lebowski,1732,1998,United Kingdom
112,Crime,http://dbpedia.org/resource/The_Big_Lebowski,1732,1998,United States of America
113,Crime,http://dbpedia.org/resource/The_Big_Lebowski,1732,1998,United Kingdom
114,Mystery,http://dbpedia.org/resource/The_Big_Lebowski,1732,1998,United States of America
115,Mystery,http://dbpedia.org/resource/The_Big_Lebowski,1732,1998,United Kingdom
116,Thriller,http://dbpedia.org/resource/The_Big_Lebowski,1732,1998,United States of America
117,Thriller,http://dbpedia.org/resource/The_Big_Lebowski,1732,1998,United Kingdom
118,Comedy,http://dbpedia.org/resource/The_Breakfast_Club,1968,1985,United States of America
119,Drama,http://dbpedia.org/resource/The_Breakfast_Club,1968,1985,United States of America
120,Drama,http://dbpedia.org/resource/The_Silence_of_the_Lambs_(film),593,1991,United States of America
121,Thriller,http://dbpedia.org/resource/The_Silence_of_the_Lambs_(film),593,1991,United States of America
122,Romance,http://dbpedia.org/resource/The_Big_Country,3368,1958,United States of America
123,Western,http://dbpedia.org/resource/The_Big_Country,3368,1958,United States of America
124,Drama,http://dbpedia.org/resource/The_Year_of_Living_Dangerously_(film),2919,1982,Australia
125,Romance,http://dbpedia.org/resource/The_Year_of_Living_Dangerously_(film),2919,1982,Australia
126,Drama,http://dbpedia.org/resource/The_Crying_Game,1094,1992,Japan
127,Drama,http://dbpedia.org/resource/The_Crying_Game,1094,1992,United Kingdom
128,Romance,http://dbpedia.org/resource/The_Crying_Game,1094,1992,Japan
129,Romance,http://dbpedia.org/resource/The_Crying_Game,1094,1992,United Kingdom
130,War,http://dbpedia.org/resource/The_Crying_Game,1094,1992,Japan
131,War,http://dbpedia.org/resource/The_Crying_Game,1094,1992,United Kingdom
132,Thriller,http://dbpedia.org/resource/The_Sixth_Sense,2762,1999,United States of America
133,Drama,http://dbpedia.org/resource/12_Monkeys,32,1995,United States of America
134,Sci-Fi,http://dbpedia.org/resource/12_Monkeys,32,1995,United States of America
135,Drama,http://dbpedia.org/resource/The_Shawshank_Redemption,318,1994,United States of America
136,Action,http://dbpedia.org/resource/The_Thing_(1982_film),2288,1982,United States of America
137,Horror,http://dbpedia.org/resource/The_Thing_(1982_film),2288,1982,United States of America
138,Sci-Fi,http://dbpedia.org/resource/The_Thing_(1982_film),2288,1982,United States of America
139,Thriller,http://dbpedia.org/resource/The_Thing_(1982_film),2288,1982,United States of America
140,Action,http://dbpedia.org/resource/The_Princess_Bride_(film),1197,1987,United States of America
141,Adventure,http://dbpedia.org/resource/The_Princess_Bride_(film),1197,1987,United States of America
142,Comedy,http://dbpedia.org/resource/The_Princess_Bride_(film),1197,1987,United States of America
143,Romance,http://dbpedia.org/resource/The_Princess_Bride_(film),1197,1987,United States of America
144,Children's,http://dbpedia.org/resource/The_Parent_Trap_(1961_film),1013,1961,United States of America
145,Drama,http://dbpedia.org/resource/The_Parent_Trap_(1961_film),1013,1961,United States of America
146,Drama,http://dbpedia.org/resource/The_Straight_Story,2966,1999,United States of America
147,Drama,http://dbpedia.org/resource/The_Straight_Story,2966,1999,France
148,Drama,http://dbpedia.org/resource/The_Straight_Story,2966,1999,United Kingdom
149,Action,"http://dbpedia.org/resource/The_Good,_the_Bad_and_the_Ugly",1201,1966,Spain
150,Action,"http://dbpedia.org/resource/The_Good,_the_Bad_and_the_Ugly",1201,1966,United States of America
151,Action,"http://dbpedia.org/resource/The_Good,_the_Bad_and_the_Ugly",1201,1966,Italy
152,Action,"http://dbpedia.org/resource/The_Good,_the_Bad_and_the_Ugly",1201,1966,Germany
153,Western,"http://dbpedia.org/resource/The_Good,_the_Bad_and_the_Ugly",1201,1966,Spain
154,Western,"http://dbpedia.org/resource/The_Good,_the_Bad_and_the_Ugly",1201,1966,United States of America
155,Western,"http://dbpedia.org/resource/The_Good,_the_Bad_and_the_Ugly",1201,1966,Italy
156,Western,"http://dbpedia.org/resource/The_Good,_the_Bad_and_the_Ugly",1201,1966,Germany
157,Drama,http://dbpedia.org/resource/Until_the_End_of_the_World,1306,1991,France
158,Drama,http://dbpedia.org/resource/Until_the_End_of_the_World,1306,1991,Germany
159,Drama,http://dbpedia.org/resource/Until_the_End_of_the_World,1306,1991,Australia
160,Sci-Fi,http://dbpedia.org/resource/Until_the_End_of_the_World,1306,1991,France
161,Sci-Fi,http://dbpedia.org/resource/Until_the_End_of_the_World,1306,1991,Germany
162,Sci-Fi,http://dbpedia.org/resource/Until_the_End_of_the_World,1306,1991,Australia
163,Action,http://dbpedia.org/resource/U-571_(film),3555,2000,United States of America
164,Action,http://dbpedia.org/resource/U-571_(film),3555,2000,France
165,Thriller,http://dbpedia.org/resource/U-571_(film),3555,2000,United States of America
166,Thriller,http://dbpedia.org/resource/U-571_(film),3555,2000,France
167,Comedy,http://dbpedia.org/resource/When_Harry_Met_Sally...,1307,1989,United States of America
168,Romance,http://dbpedia.org/resource/When_Harry_Met_Sally...,1307,1989,United States of America
169,Drama,http://dbpedia.org/resource/JFK_(film),3386,1991,United States of America
170,Mystery,http://dbpedia.org/resource/JFK_(film),3386,1991,United States of America
171,Comedy,http://dbpedia.org/resource/Forrest_Gump,356,1994,United States of America
172,Romance,http://dbpedia.org/resource/Forrest_Gump,356,1994,United States of America
173,War,http://dbpedia.org/resource/Forrest_Gump,356,1994,United States of America
174,Drama,http://dbpedia.org/resource/All_About_Eve,926,1950,United States of America
175,Drama,http://dbpedia.org/resource/Gentleman's_Agreement,1940,1947,United States of America
176,Crime,http://dbpedia.org/resource/Crossfire_(film),1068,1947,United States of America
177,Film-Noir,http://dbpedia.org/resource/Crossfire_(film),1068,1947,United States of America
178,Drama,http://dbpedia.org/resource/Midnight_Cowboy,1952,1969,United States of America
179,Drama,http://dbpedia.org/resource/The_Best_Years_of_Our_Lives,1939,1946,United States of America
180,War,http://dbpedia.org/resource/The_Best_Years_of_Our_Lives,1939,1946,United States of America
181,Drama,http://dbpedia.org/resource/Beautiful_Girls_(film),94,1996,United States of America
182,Comedy,http://dbpedia.org/resource/Everyone_Says_I_Love_You,1057,1996,United States of America
183,Musical,http://dbpedia.org/resource/Everyone_Says_I_Love_You,1057,1996,United States of America
184,Romance,http://dbpedia.org/resource/Everyone_Says_I_Love_You,1057,1996,United States of America
185,Drama,http://dbpedia.org/resource/Anywhere_but_Here_(film),3051,1999,United States of America
186,Drama,http://dbpedia.org/resource/The_Lost_Weekend_(film),1938,1945,United States of America
187,Drama,http://dbpedia.org/resource/From_Here_to_Eternity,1944,1953,United States of America
188,Romance,http://dbpedia.org/resource/From_Here_to_Eternity,1944,1953,United States of America
189,War,http://dbpedia.org/resource/From_Here_to_Eternity,1944,1953,United States of America
190,Comedy,http://dbpedia.org/resource/Going_My_Way,1937,1944,United States of America
191,Drama,http://dbpedia.org/resource/The_Bridge_on_the_River_Kwai,1250,1957,United States of America
192,Drama,http://dbpedia.org/resource/The_Bridge_on_the_River_Kwai,1250,1957,United Kingdom
193,War,http://dbpedia.org/resource/The_Bridge_on_the_River_Kwai,1250,1957,United States of America
194,War,http://dbpedia.org/resource/The_Bridge_on_the_River_Kwai,1250,1957,United Kingdom
195,Drama,http://dbpedia.org/resource/Gattaca,1653,1997,United States of America
196,Sci-Fi,http://dbpedia.org/resource/Gattaca,1653,1997,United States of America
197,Thriller,http://dbpedia.org/resource/Gattaca,1653,1997,United States of America
198,Comedy,http://dbpedia.org/resource/Back_to_the_Future,1270,1985,United States of America
199,Sci-Fi,http://dbpedia.org/resource/Back_to_the_Future,1270,1985,United States of America
200,Adventure,http://dbpedia.org/resource/Lawrence_of_Arabia_(film),1204,1962,United States of America
201,Adventure,http://dbpedia.org/resource/Lawrence_of_Arabia_(film),1204,1962,United Kingdom
202,War,http://dbpedia.org/resource/Lawrence_of_Arabia_(film),1204,1962,United States of America
203,War,http://dbpedia.org/resource/Lawrence_of_Arabia_(film),1204,1962,United Kingdom
204,Action,http://dbpedia.org/resource/Heat_(1995_film),6,1995,United States of America
205,Crime,http://dbpedia.org/resource/Heat_(1995_film),6,1995,United States of America
206,Thriller,http://dbpedia.org/resource/Heat_(1995_film),6,1995,United States of America
207,Comedy,http://dbpedia.org/resource/Where_the_Heart_Is_(2000_film),3565,2000,United States of America
208,Drama,http://dbpedia.org/resource/Where_the_Heart_Is_(2000_film),3565,2000,United States of America
209,Musical,http://dbpedia.org/resource/The_Great_Ziegfeld,1932,1936,United States of America
210,Comedy,http://dbpedia.org/resource/It_Happened_One_Night,905,1934,United States of America
211,Drama,http://dbpedia.org/resource/Reds_(film),2929,1981,United States of America
212,Sci-Fi,http://dbpedia.org/resource/Soylent_Green,2009,1973,United States of America
213,Thriller,http://dbpedia.org/resource/Soylent_Green,2009,1973,United States of America
214,Action,http://dbpedia.org/resource/Rocky,1954,1976,United States of America
215,Drama,http://dbpedia.org/resource/Rocky,1954,1976,United States of America
216,Comedy,http://dbpedia.org/resource/Airplane!,2791,1980,United States of America
217,Sci-Fi,http://dbpedia.org/resource/Metropolis_(1927_film),2010,1926,Germany
218,Sci-Fi,http://dbpedia.org/resource/Metropolis_(1927_film),2010,1926,Weimar Republic
219,Comedy,http://dbpedia.org/resource/French_Kiss_(1995_film),236,1995,United States of America
220,Comedy,http://dbpedia.org/resource/French_Kiss_(1995_film),236,1995,United Kingdom
221,Romance,http://dbpedia.org/resource/French_Kiss_(1995_film),236,1995,United States of America
222,Romance,http://dbpedia.org/resource/French_Kiss_(1995_film),236,1995,United Kingdom
223,Action,http://dbpedia.org/resource/Return_of_the_Jedi,1210,1983,United States of America
224,Adventure,http://dbpedia.org/resource/Return_of_the_Jedi,1210,1983,United States of America
225,Romance,http://dbpedia.org/resource/Return_of_the_Jedi,1210,1983,United States of America
226,Sci-Fi,http://dbpedia.org/resource/Return_of_the_Jedi,1210,1983,United States of America
227,War,http://dbpedia.org/resource/Return_of_the_Jedi,1210,1983,United States of America
228,Action,http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade,1291,1989,United States of America
229,Adventure,http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade,1291,1989,United States of America
230,Drama,http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film),902,1961,United States of America
231,Romance,http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film),902,1961,United States of America
232,Drama,http://dbpedia.org/resource/Titanic_(1997_film),1721,1997,United States of America
233,Romance,http://dbpedia.org/resource/Titanic_(1997_film),1721,1997,United States of America
234,Action,http://dbpedia.org/resource/Armageddon_(1998_film),1917,1998,United States of America
235,Adventure,http://dbpedia.org/resource/Armageddon_(1998_film),1917,1998,United States of America
236,Sci-Fi,http://dbpedia.org/resource/Armageddon_(1998_film),1917,1998,United States of America
237,Thriller,http://dbpedia.org/resource/Armageddon_(1998_film),1917,1998,United States of America
238,Action,http://dbpedia.org/resource/Star_Wars_(film),260,1977,United States of America
239,Adventure,http://dbpedia.org/resource/Star_Wars_(film),260,1977,United States of America
240,Fantasy,http://dbpedia.org/resource/Star_Wars_(film),260,1977,United States of America
241,Sci-Fi,http://dbpedia.org/resource/Star_Wars_(film),260,1977,United States of America
242,Action,http://dbpedia.org/resource/The_Empire_Strikes_Back,1196,1980,United States of America
243,Adventure,http://dbpedia.org/resource/The_Empire_Strikes_Back,1196,1980,United States of America
244,Drama,http://dbpedia.org/resource/The_Empire_Strikes_Back,1196,1980,United States of America
245,Sci-Fi,http://dbpedia.org/resource/The_Empire_Strikes_Back,1196,1980,United States of America
246,War,http://dbpedia.org/resource/The_Empire_Strikes_Back,1196,1980,United States of America
247,Action,http://dbpedia.org/resource/Raiders_of_the_Lost_Ark,1198,1981,United States of America
248,Adventure,http://dbpedia.org/resource/Raiders_of_the_Lost_Ark,1198,1981,United States of America
249,Drama,http://dbpedia.org/resource/Leaving_Las_Vegas,25,1995,United States of America
250,Drama,http://dbpedia.org/resource/Leaving_Las_Vegas,25,1995,France
251,Romance,http://dbpedia.org/resource/Leaving_Las_Vegas,25,1995,United States of America
252,Romance,http://dbpedia.org/resource/Leaving_Las_Vegas,25,1995,France
253,Crime,http://dbpedia.org/resource/Pulp_Fiction,296,1994,United States of America
254,Drama,http://dbpedia.org/resource/Pulp_Fiction,296,1994,United States of America
255,Sci-Fi,http://dbpedia.org/resource/Forbidden_Planet,1301,1956,United States of America
256,Drama,http://dbpedia.org/resource/Miller's_Crossing,1245,1990,United States of America
257,Horror,http://dbpedia.org/resource/Sleepy_Hollow_(film),3081,1999,United States of America
258,Romance,http://dbpedia.org/resource/Sleepy_Hollow_(film),3081,1999,United States of America
259,Drama,http://dbpedia.org/resource/Casablanca_(film),912,1942,United States of America
260,Romance,http://dbpedia.org/resource/Casablanca_(film),912,1942,United States of America
261,War,http://dbpedia.org/resource/Casablanca_(film),912,1942,United States of America
262,War,http://dbpedia.org/resource/Tora!_Tora!_Tora!,3066,1970,Japan
263,War,http://dbpedia.org/resource/Tora!_Tora!_Tora!,3066,1970,United States of America
264,Film-Noir,http://dbpedia.org/resource/The_Manchurian_Candidate_(1962_film),1267,1962,United States of America
265,Thriller,http://dbpedia.org/resource/The_Manchurian_Candidate_(1962_film),1267,1962,United States of America
266,Drama,http://dbpedia.org/resource/Chasing_Amy,1639,1997,United States of America
267,Romance,http://dbpedia.org/resource/Chasing_Amy,1639,1997,United States of America
268,Drama,http://dbpedia.org/resource/Wings_(1927_film),1925,1927,United States of America
269,Romance,http://dbpedia.org/resource/Wings_(1927_film),1925,1927,United States of America
270,War,http://dbpedia.org/resource/Wings_(1927_film),1925,1927,United States of America
271,Adventure,http://dbpedia.org/resource/Song_of_the_South,2099,1946,United States of America
272,Animation,http://dbpedia.org/resource/Song_of_the_South,2099,1946,United States of America
273,Children's,http://dbpedia.org/resource/Song_of_the_South,2099,1946,United States of America
274,Musical,http://dbpedia.org/resource/Song_of_the_South,2099,1946,United States of America
275,Comedy,http://dbpedia.org/resource/The_Gay_Divorcee,907,1934,United States of America
276,Musical,http://dbpedia.org/resource/The_Gay_Divorcee,907,1934,United States of America
277,Romance,http://dbpedia.org/resource/The_Gay_Divorcee,907,1934,United States of America
278,Action,http://dbpedia.org/resource/The_Patriot_(2000_film),3753,2000,United States of America
279,Action,http://dbpedia.org/resource/The_Patriot_(2000_film),3753,2000,Germany
280,Drama,http://dbpedia.org/resource/The_Patriot_(2000_film),3753,2000,United States of America
281,Drama,http://dbpedia.org/resource/The_Patriot_(2000_film),3753,2000,Germany
282,War,http://dbpedia.org/resource/The_Patriot_(2000_film),3753,2000,United States of America
283,War,http://dbpedia.org/resource/The_Patriot_(2000_film),3753,2000,Germany
284,Comedy,http://dbpedia.org/resource/Top_Hat,945,1935,United States of America
285,Musical,http://dbpedia.org/resource/Top_Hat,945,1935,United States of America
286,Romance,http://dbpedia.org/resource/Top_Hat,945,1935,United States of America
287,Drama,http://dbpedia.org/resource/Lost_Horizon_(1937_film),944,1937,United States of America
288,Comedy,http://dbpedia.org/resource/All_About_My_Mother,3083,1999,Spain
289,Comedy,http://dbpedia.org/resource/All_About_My_Mother,3083,1999,France
290,Drama,http://dbpedia.org/resource/All_About_My_Mother,3083,1999,Spain
291,Drama,http://dbpedia.org/resource/All_About_My_Mother,3083,1999,France
292,Comedy,http://dbpedia.org/resource/Ninotchka,936,1939,United States of America
293,Romance,http://dbpedia.org/resource/Ninotchka,936,1939,United States of America
294,Drama,http://dbpedia.org/resource/Mr._Smith_Goes_to_Washington,954,1939,United States of America
295,Musical,http://dbpedia.org/resource/The_Sting,3606,1949,United States of America
296,Comedy,http://dbpedia.org/resource/The_Philadelphia_Story_(film),898,1940,United States of America
297,Romance,http://dbpedia.org/resource/The_Philadelphia_Story_(film),898,1940,United States of America
298,Comedy,http://dbpedia.org/resource/The_Great_Dictator,1281,1940,United States of America
299,Thriller,http://dbpedia.org/resource/Foreign_Correspondent_(film),929,1940,United States of America
300,Crime,http://dbpedia.org/resource/Touch_of_Evil,1248,1958,United States of America
301,Film-Noir,http://dbpedia.org/resource/Touch_of_Evil,1248,1958,United States of America
302,Thriller,http://dbpedia.org/resource/Touch_of_Evil,1248,1958,United States of America
303,Drama,http://dbpedia.org/resource/Apt_Pupil_(film),2320,1998,United States of America
304,Drama,http://dbpedia.org/resource/Apt_Pupil_(film),2320,1998,France
305,Thriller,http://dbpedia.org/resource/Apt_Pupil_(film),2320,1998,United States of America
306,Thriller,http://dbpedia.org/resource/Apt_Pupil_(film),2320,1998,France
307,Crime,http://dbpedia.org/resource/Goodfellas,1213,1990,United States of America
308,Drama,http://dbpedia.org/resource/Goodfellas,1213,1990,United States of America
309,Drama,http://dbpedia.org/resource/Schindler's_List,527,1993,United States of America
310,War,http://dbpedia.org/resource/Schindler's_List,527,1993,United States of America
311,Adventure,http://dbpedia.org/resource/Fly_Away_Home,986,1996,United States of America
312,Children's,http://dbpedia.org/resource/Fly_Away_Home,986,1996,United States of America
313,Comedy,http://dbpedia.org/resource/Annie_Hall,1230,1977,United States of America
314,Romance,http://dbpedia.org/resource/Annie_Hall,1230,1977,United States of America
315,Comedy,http://dbpedia.org/resource/Clue_(film),2413,1985,United States of America
316,Mystery,http://dbpedia.org/resource/Clue_(film),2413,1985,United States of America
317,Action,http://dbpedia.org/resource/Marked_for_Death,1382,1990,United States of America
318,Drama,http://dbpedia.org/resource/Marked_for_Death,1382,1990,United States of America
319,Action,http://dbpedia.org/resource/Under_Siege_2:_Dark_Territory,204,1995,United States of America
320,Action,http://dbpedia.org/resource/Executive_Decision,494,1996,United States of America
321,Thriller,http://dbpedia.org/resource/Executive_Decision,494,1996,United States of America
322,Action,http://dbpedia.org/resource/Under_Siege,1385,1992,United States of America
323,Action,http://dbpedia.org/resource/The_Glimmer_Man,1004,1996,United States of America
324,Thriller,http://dbpedia.org/resource/The_Glimmer_Man,1004,1996,United States of America
325,Action,http://dbpedia.org/resource/Fire_Down_Below_(1997_film),1626,1997,United States of America
326,Drama,http://dbpedia.org/resource/Fire_Down_Below_(1997_film),1626,1997,United States of America
327,Thriller,http://dbpedia.org/resource/Fire_Down_Below_(1997_film),1626,1997,United States of America
328,Comedy,http://dbpedia.org/resource/Abbott_and_Costello_Meet_Frankenstein,3928,1948,United States of America
329,Horror,http://dbpedia.org/resource/Abbott_and_Costello_Meet_Frankenstein,3928,1948,United States of America
330,Musical,http://dbpedia.org/resource/All_That_Jazz_(film),2971,1979,United States of America
